Incident_ID,City,Vehicle_Type,Accident_Type,Severity,Weather_Condition,Driver_Age,Driver_Gender,Injury_Count,Damage_Cost_PHP,Traffic_Volume,Road_Lighting,Speed_Limit
MMTI-2025-05238,Quezon,Motorcycle,Head-on,3,Cloudy,33.0,Male,0,357286.72,Heavy,Poorly-Lit,80
MMTI-2025-10399,Makati,Car,Head-on,2.0,Cloudy,53.0,Male,0,260569.42,Heavy,Well-Lit,60
MMTI-2025-06656,Quezon,Car,Rear-end,3,Cloudy,39.0,Male,0,457997.33,Heavy,Well-Lit,30
MMTI-2025-13832,Quezon,Car,Head-on,3.0,Rainy,33.0,F,0,1161803.7,Heavy,Well-Lit,30
MMTI-2025-12003,Paranaque,Motorcycle,Head-on,Risk Level 2,Clear,29.0,female ,0,113165.33,Light,Poorly-Lit,60
MMTI-2025-11648,Quezon,Car,Side-swipe,6,Rainy,25.0,Male,4,971379.42,Light,Well-Lit,80
MMTI-2025-19579,Malabon,Motorcycle,Head-on,3,Clear,55.0,Male,0,"PHP 36,892.84",Heavy,Well-Lit,60 km/h
MMTI-2025-20252,Muntinlupa,Motorcycle,Side-swipe,,Clear,18.0,M,0,14205.18,Heavy,Well-Lit,30
MMTI-2025-22842,Paranaque,Car,Rear-end,3.0,Clear,-10.0,Male,0,98843.05,Heavy,Poorly-Lit,80
MMTI-2025-09876,Caloocan,Car,Rear-end,3,Clear,49.0,Female,0,43336.07,HEAVY,Well-Lit,60
MMTI-2025-09871,Manila,Bus,Hit and Run,3.0,,45.0,Male,0,786284.48,Heavy,Well-Lit,80
MMTI-2025-07976,Mandaluyong,Car,Hit and Run,3,Clear,41.0,Male,0,75283.81,Heavy,Well-Lit,60
MMTI-2025-15600,Mandaluyong,Bus,Side-swipe,2,Clear,51.0,Female,0,325835.68,,Well-Lit,80
MMTI-2025-03583, manila,Jeepney,Head-on,Risk Level 3,,54.0,Female,0,28780.01,Moderate,Poorly-Lit,40 km/h
MMTI-2025-20455,Quezon,Truck,Head-on,,Clear,34.0,Female,0,240154.21,HEAVY,Lit,60
MMTI-2025-19925,Manila,Jeepney,Hit and Run,3.0,,45.0,Female,0,,,Unlit,60
MMTI-2025-02202,Mandaluyong,Truck,Head-on,2,Clear,51.0,Male,0,78948.7,Heavy,Well-Lit,60
MMTI-2025-14028, pasay,,Rear-end,3,Clear,41.0,Male,0,,Heavy,Well-Lit,80
MMTI-2025-02366,Taguig,Truck,Rear-end,3,Cloudy,49.0,Female,0,311944.08,Light,Lit,30
MMTI-2025-23240,Marikina,Car,Rear-end,3.0,Clear,-10.0,female ,0,61266.07,Light,Well-Lit,60
MMTI-2025-09914,Pasig,Car,Side-swipe,3.0,Clear,34.0,Female,0,"PHP 123,928.41",Heavy,Well-Lit,60
MMTI-2025-11811,Manila,,Side-swipe,3,Storm,42.0,Female,0,283463.2,Heavy,Well-Lit,80
MMTI-2025-08030,Marikina,Car,Side-swipe,3,Clear,35.0,Male,0,"PHP 63,722.37",Moderate,Poorly-Lit,60
MMTI-2025-14851,Malabon,Bus,Hit and Run,,Storm,39.0,Male,0,364067.3,Moderate,Well-Lit,60
MMTI-2025-20231,Valenzuela,Motorcycle,Side-swipe,3,Clear,36.0,Male,0,37603.87,Heavy,Poorly-Lit,60
MMTI-2025-06614,,Truck,Side-swipe,2,Clear,,Male,0,483922.52,Heavy,Well-Lit,60
MMTI-2025-15047,Manila,Bus,Hit and Run,,Rain,45.0,Female,0,70028.23,Moderate,Poorly-Lit,60
MMTI-2025-02802,Quezon,Car,Side-swipe,3,Rainy,34.0,Male,0,"PHP 671,347.43",Heavy,POOR,60
MMTI-2025-05924,Taguig,Truck,Side-swipe,3,Cloudy,37.0,Female,0,332110.28,Moderate,Unlit,60
MMTI-2025-01678,Pasay,Motorcycle,Rear-end,3,Clear,25.0,Male,0,,,Well-Lit,80
MMTI-2025-10856,Las Pinas,Car,Side-swipe,Risk Level 3,Clear,52.0,Female,0,88827.88,Heavy,Well-Lit,40 kph
MMTI-2025-14281,Quezon,SUV/Van,Rear-end,3.0,Rainy,38.0,Male,0,1432875.31,Heavy,well lit,40
MMTI-2025-07682,Las Pinas,Car,Head-on,3.0,Clear,37.0,Male,0,87.9k,Heavy,Poorly-Lit,80
MMTI-2025-17373,Taguig,Car,Side-swipe,3.0,Cloudy,38.0,Male,0,303487.26,Heavy,Poorly-Lit,80
MMTI-2025-02144, manila,Truck,Head-on,3.0,Clear,,Male,0,1459112.68,Heavy,Poorly-Lit,60
MMTI-2025-17139,Pasig,Car,Side-swipe,Risk Level 3,Clear,50.0,Female,0,130243.34,Moderate,Well-Lit,60
MMTI-2025-16798,,Bus,Head-on,3,Rain,31.0,Male,0,702956.48,Moderate,Well-Lit,60
MMTI-2025-05312,Mandaluyong,Car,Side-swipe,3,Clear,37.0,Male,0,70823.34,Heavy,Well-Lit,80
MMTI-2025-14172,Makati,Motorcycle,Rear-end,3.0,Storm,43.0,Female,0,42746.1,,Poorly-Lit,30
MMTI-2025-20291,Quezon,Car,Rear-end,Risk Level 1,Cloudy,44.0,Female,0,496202.14,Light,Poorly-Lit,60
MMTI-2025-20723,Quezon,Car,Side-swipe,6,Cloudy,58.0,Male,3,496323.64,Heavy,Well-Lit,80
MMTI-2025-12535,Quezon,Car,Head-on,3.0,Rainy,43.0,Female,0,1158838.6,Heavy,Lit,60
MMTI-2025-08641,Muntinlupa,Truck,Rear-end,3,Clear,46.0,Male,0,,Moderate,Unlit,80 kph
MMTI-2025-13836,Quezon,Car,Side-swipe,3,Cloudy,57.0,Male,0,453135.62,Heavy,Poorly-Lit,40
MMTI-2025-12383,Las Pinas,Car,Rear-end,3.0,Clear,44.0,Male,0,86801.17,Heavy,dark,30
MMTI-2025-06080,Las Pinas,SUV/Van,Hit and Run,2.0,Clear,39.0,Male,0,88996.83,Heavy,Well-Lit,30 kph
MMTI-2025-15248,Quezon,Truck,Hit and Run,Risk Level 3,Cloudy,28.0,Female,0,354785.05,LIGHT,Poorly-Lit,60
MMTI-2025-16666,Caloocan,Jeepney,Side-swipe,,Storm,48.0,Male,0,23798.25,Heavy,Well-Lit,30
MMTI-2025-00679,,Car,Rear-end,Risk Level 3,Clear,46.0,Male,0,77777777,Moderate,Unlit,60
MMTI-2025-15465,Quezon,Jeepney,Side-swipe,1.0,Clear,,Male,0,24615.74,MODERATE,Poorly-Lit,40
MMTI-2025-13698,Mandaluyong,Bus,Rear-end,3,Rain,17.0,Male,0,,Heavy,No Lights,60 km/h
MMTI-2025-10142,Pasig,Motorcycle,Head-on,3,Clear,39.0,Male,0,142810.26,Heavy,Poorly-Lit,80
MMTI-2025-22204,Taguig,Car,Head-on,3.0,Cloudy,45.0,Male,0,"PHP 338,071.96",Moderate,Poorly-Lit,60
MMTI-2025-02626,,SUV/Van,Hit and Run,3,Clear,23.0,Male,0,79550.82,Heavy,well lit,80
MMTI-2025-19735,Quezon,Motorcycle,Head-on,3.0,Cloudy,55.0,Male,0,"PHP 357,105.76",HEAVY,Poorly-Lit,60
MMTI-2025-00121,Paranaque,Truck,Head-on,Risk Level 3,Clear,31.0,Unknown,0,113878.35,Heavy,Well-Lit,40
MMTI-2025-16075,Quezon,Motorcycle,Hit and Run,3,Cloudy,47.0,Male,0,423286.54,Heavy,Poorly-Lit,80
MMTI-2025-15474,Makati,Truck,Head-on,3.0,Cloudy,36.0,Male,0,215671.89,Moderate,Well-Lit,60
MMTI-2025-19027,Quezon,Car,Side-swipe,6.0,Rainy,17.0,Male,2,1711923.43,Heavy,Well-Lit,40 km/h
MMTI-2025-13871,Mandaluyong,Car,Side-swipe,6,Clear,29.0,Male,2,73215.22,Heavy,Poorly-Lit,60
MMTI-2025-10539,Valenzuela,SUV/Van,Side-swipe,6.0,Rain,29.0,Male,1,547909.21,,Poorly-Lit,60
MMTI-2025-17835,Quezon,Car,Hit and Run,3,Rainy,40.0,Male,0,631699.43,Moderate,POOR,60 km/h
MMTI-2025-00617,,Bus,Head-on,3,,23.0,Male,0,1076395.7,Moderate,Well-Lit,60
MMTI-2025-01583,Taguig,Car,Side-swipe,,Clear,41.0,Male,0,77777777,Heavy,Unlit,60
MMTI-2025-09018,Navotas,Truck,Side-swipe,3,Clear,31.0,Male,0,,Heavy,Well-Lit,60
MMTI-2025-08758,Pasig,Motorcycle,Side-swipe,2,,67.0,M,0,"PHP 17,677.96",Moderate,Well-Lit,60
MMTI-2025-11397,Marikina,Car,Hit and Run,2.0,Clear,33.0,Female,0,62560.73,Heavy,Well-Lit,60
MMTI-2025-01713,Marikina,Bus,Hit and Run,3.0,Clear,40.0,Male,0,,Heavy,Well-Lit,80
MMTI-2025-10113,Manila,Car,Hit and Run,3.0,Cloudy,29.0,Male,0,210733.45,Heavy,Well-Lit,80
MMTI-2025-01381,Caloocan,Jeepney,Rear-end,,Clear,57.0,Male,0,16420.93,Light,No Lights,60
MMTI-2025-19661,Pasig,Bus,Rear-end,,Cloudy,51.0,Male,0,377376.16,Heavy,Well-Lit,60
MMTI-2025-21044,Makati,SUV/Van,Side-swipe,Risk Level 3,Cloudy,35.0,Female,0,255551.12,Moderate,Poorly-Lit,30 km/h
MMTI-2025-17796,Manila,Car,Hit and Run,3,Clear,53.0,Male,0,,Heavy,Well-Lit,60
MMTI-2025-22628, pasig,Bus,Hit and Run,,Rain,44.0,Female,0,206160.12,Heavy,Poorly-Lit,60
MMTI-2025-18951,Mandaluyong,Jeepney,Rear-end,3,Clear,37.0,female ,0,77493.58,Moderate,Well-Lit,60
